,Glycosylation,Cross-link,Modified residue,Signal,Disulfide bond
P14653,0,0,0,0,0
P14672,1,0,4,0,0
P14678,0,0,8,0,0
P14679,6,0,0,1,0
P14735,0,0,2,0,0
P14770,1,0,0,1,0
P14778,6,0,1,1,5
P14780,3,0,0,1,7
P14784,4,0,0,1,3
P14854,0,0,1,0,2
P14859,0,0,5,0,0
P14866,0,5,10,0,0
P14867,2,0,0,1,1
P14868,0,0,5,0,0
P14902,0,0,0,0,0
P14920,0,0,0,0,0
P14921,0,4,12,0,0
P14923,1,0,6,0,0
P14927,0,0,8,0,0
P15018,6,0,0,1,3
P15036,0,0,5,0,0
P15056,0,1,14,0,0
P15085,0,0,0,1,1
P15086,0,0,0,1,3
P15088,0,0,0,1,2
P15090,0,0,3,0,0
P15104,0,0,3,0,0
P15121,0,0,5,0,0
P15144,10,0,4,0,2
P15151,10,0,1,1,3
P15153,1,0,3,0,0
P15169,3,0,0,1,2
P15170,0,0,0,0,0
P15172,0,1,1,0,0
P15173,0,0,3,0,0
P15248,4,0,1,1,0
P15259,0,0,7,0,0
P15260,5,0,5,1,4
P15289,3,0,1,1,6
P15291,1,0,0,0,2
P15309,3,0,0,1,3
P15311,0,0,7,0,0
P15313,0,0,0,0,0
P15328,3,0,0,1,8
P15336,0,0,19,0,0
P15374,0,0,1,0,0
P15382,3,0,1,0,0
P15391,5,0,7,1,3
P15407,0,0,1,0,0
P15408,0,5,8,0,0
P15428,0,0,0,0,0
P15498,0,0,2,0,0
P15502,0,0,57,1,1
P15509,11,0,0,1,2
P15514,3,0,0,1,3
P15515,0,0,5,1,0
P15516,0,0,0,1,0
P15529,21,0,7,1,8
P15531,0,1,3,0,0
P15538,0,0,0,0,0
P15559,0,2,1,0,0
P15586,13,0,2,1,0
P15622,0,6,0,0,0
P15692,1,0,0,0,5
P15735,0,0,1,0,0
P15812,2,0,0,1,1
P15813,4,0,0,1,2
P15814,0,0,0,1,2
P15822,0,0,27,0,0
P15848,6,0,1,1,4
P15863,0,0,0,0,0
P15880,0,5,7,0,0
P15882,0,0,3,0,0
P15884,0,0,5,0,0
P15907,2,0,1,0,3
P15918,0,1,0,0,0
P15923,0,2,8,0,0
P15924,0,0,24,0,0
P15927,0,2,7,0,0
P15941,9,0,7,1,0
P15954,0,0,2,0,0
P15976,0,1,17,0,0
P16035,0,0,0,1,6
P16050,0,0,0,0,0
P16066,7,0,7,1,3
P16070,10,0,4,1,3
P16083,0,0,2,0,0
P16104,0,5,9,0,0
P16109,12,0,0,1,23
P16112,18,0,0,1,17
P16118,0,0,3,0,0
P16144,5,0,10,1,23
P16150,26,0,7,1,0
P16152,0,0,4,0,0
P16157,0,0,34,0,0
P16219,0,0,11,0,0
P16220,0,3,3,0,0
P16233,1,0,0,1,6
P16234,8,0,11,1,4
P16278,7,0,0,1,2
P16284,9,0,4,1,6
P16298,0,0,2,0,0
P16333,0,0,7,0,0
P16383,0,0,12,0,0
P16389,1,0,7,0,0
P16401,0,0,22,0,0
P16402,0,0,15,0,0
P16403,0,0,44,0,0
P16410,2,0,1,1,3
P16422,3,0,0,1,6
P16435,0,0,2,0,0
P16442,1,0,0,0,0
P16444,4,0,0,1,3
P16452,0,0,1,0,0
P16455,0,0,2,0,0
P16471,3,0,0,1,2
P16473,6,0,1,1,2
P16499,0,0,2,0,0
P16519,3,0,0,1,3
P16520,0,0,0,0,0
P16581,11,0,0,1,19
P16591,0,0,4,0,0
P16615,0,0,7,0,1
P16619,0,0,0,1,2
P16662,3,0,0,1,0
P16671,10,2,0,0,3
P16860,8,0,0,1,1
P16870,2,0,0,1,0
P16871,6,0,1,1,3
P16885,0,0,5,0,0
P16930,0,0,4,0,0
P16949,0,0,11,0,0
P16989,0,0,13,0,0
P17010,0,0,1,0,0
P17014,0,15,0,0,0
P17020,0,1,1,0,0
P17021,0,0,0,0,0
P17022,0,0,0,0,0
P17023,0,0,0,0,0
P17024,0,0,0,0,0
P17027,0,1,0,0,0
P17028,0,10,5,0,0
P17036,0,6,2,0,0
P17040,0,0,0,0,0
P17041,0,0,0,0,0
P17050,5,0,2,1,4
P17066,0,0,1,0,0
P17081,0,0,1,0,0
P17096,0,1,24,0,0
P17152,0,0,0,0,0
P17174,0,0,2,0,0
P17181,12,3,4,1,4
P17213,1,0,0,1,1
P17252,0,0,14,0,0
P17275,0,8,7,0,0
P17301,10,0,0,1,6
P17302,0,2,17,0,2
P17342,3,0,0,1,3
P17405,6,0,1,1,8
P17480,0,0,14,0,0
P17481,0,0,0,0,0
P17482,0,1,1,0,0
P17483,0,0,1,0,0
P17509,0,0,1,0,0
P17516,0,0,0,0,0
P17535,0,0,6,0,1
P17540,0,0,2,0,0
P17542,0,0,3,0,0
P17544,0,1,5,0,0
P17568,0,0,1,0,2
P17600,9,0,23,0,0
P17612,0,0,8,0,0
P17643,6,0,0,1,7
P17655,0,0,1,0,0
P17658,0,0,2,0,0
P17661,0,0,21,0,0
P17676,2,8,12,0,0
P17677,0,0,7,0,0
P17693,1,0,0,1,4
P17706,0,0,8,0,0
P17707,0,0,2,0,0
P17735,0,0,3,0,0
P17752,0,0,1,0,0
P17787,3,0,0,1,1
P17812,0,0,9,0,0
P17813,5,0,2,1,8
P17844,0,14,8,0,0
P17858,1,0,4,0,0
P17861,0,0,2,0,0
P17900,1,0,0,1,4
P17927,20,0,1,1,60
P17931,0,0,4,0,1
P17936,3,0,2,1,9
P17947,0,0,2,0,0
P17948,13,0,8,1,6
P17980,0,0,3,0,0
P17987,0,0,9,0,0
P18031,0,1,16,0,0
P18054,0,0,1,0,0
P18065,0,0,0,1,9
P18074,0,0,0,0,0
P18075,4,0,0,1,4
P18077,0,0,3,0,0
P18084,8,0,1,1,28
P18085,0,0,1,0,0
P18089,0,0,0,0,1
P18124,0,0,5,0,0
P18146,0,1,0,0,0
P18206,0,0,21,0,0
P18283,0,0,0,0,0
P18405,0,0,0,0,0
P18428,4,0,0,1,1
P18433,7,0,3,1,0
P18440,0,0,1,0,0
P18505,2,0,0,1,1
P18507,3,0,0,1,1
P18509,0,0,2,1,0
P18510,1,0,0,1,1
P18545,0,0,1,0,0
P18564,9,0,0,1,28
P18577,0,0,0,0,0
P18583,0,4,42,0,0
P18615,0,3,21,0,0
P18621,0,0,0,0,0
P18627,4,0,0,1,4
P18669,0,0,10,0,0
P18754,0,0,5,0,0
P18825,2,0,0,0,1
P18827,6,0,1,1,0
P18846,0,2,2,0,0
P18847,0,2,1,0,0
P18848,0,4,10,0,0
P18850,3,2,0,0,0
P18858,0,0,19,0,0
P18859,0,0,9,0,0
P18887,0,2,26,0,0
P19012,0,1,7,0,0
P19013,0,0,1,0,0
P19021,1,0,8,1,7
P19022,7,0,2,1,0
P19075,1,0,0,0,0
P19086,0,0,1,0,0
P19087,0,0,2,0,0
P19099,0,0,0,0,0
P19105,0,0,2,0,0
P19113,0,0,1,0,0
P19174,0,0,13,0,0
P19224,2,0,0,1,0
P19235,1,2,8,1,2
P19237,0,0,2,0,0
P19256,6,0,0,1,1
P19320,6,0,0,1,6
P19338,0,11,61,0,0
P19367,0,0,2,0,0
P19387,0,0,2,0,0
P19388,0,1,1,0,0
P19397,2,0,0,0,0
P19404,0,0,2,0,0
P19419,1,3,9,0,0
P19429,0,0,18,0,0
P19438,4,0,0,1,12
P19440,7,0,0,0,2
P19447,0,0,1,0,0
P19474,0,0,1,0,0
P19484,0,0,14,0,0
P19525,0,2,15,0,0
P19526,2,0,0,0,0
P19532,0,1,9,0,0
P19544,0,3,0,0,0
P19622,0,0,0,0,0
P19623,0,0,1,0,0
P19634,6,0,15,0,0
P19652,5,0,1,1,2
P19784,0,0,5,0,0
P19793,0,2,9,0,0
P19801,4,0,1,1,3
P19823,6,0,6,1,2
P19827,5,0,4,1,2
P19835,11,0,0,1,2
P19838,0,1,16,0,0
P19875,0,0,0,1,2
P19876,0,0,0,1,2
P19878,0,0,2,0,0
P19883,2,0,0,1,18
P19957,0,0,0,1,4
P19971,0,0,1,0,0
P20020,0,0,10,0,0
P20023,11,0,0,1,30
P20036,2,0,0,1,1
P20042,0,1,12,0,0
P20061,8,0,0,1,4
P20062,0,0,0,1,4
P20073,0,0,1,0,0
P20132,0,0,1,0,0
P20138,5,0,2,1,3
P20142,0,0,0,1,3
P20151,1,0,0,1,5
P20155,0,0,1,1,3
P20160,3,0,0,1,4
P20226,0,0,0,0,0
P20231,1,0,1,1,4
P20248,0,0,3,0,0
P20264,0,0,0,0,0
P20265,0,0,1,0,0
P20273,11,0,7,1,8
P20290,0,0,6,0,0
P20292,0,0,0,0,0
P20309,5,0,1,0,2
P20333,6,0,1,1,10
P20336,0,0,4,0,0
P20337,0,0,5,0,0
P20338,0,0,4,0,0
P20339,1,0,1,0,0
P20340,0,0,4,0,0
P20366,0,0,2,1,0
P20393,0,0,7,0,0
P20396,0,0,6,1,0
P20472,0,0,3,0,0
P20585,0,0,2,0,0
P20591,0,0,1,0,0
P20592,0,0,0,0,0
P20594,7,0,7,1,3
P20618,2,0,6,0,0
P20645,5,0,1,1,3
P20648,0,0,7,0,0
P20671,0,3,31,0,0
P20674,0,0,3,0,0
P20700,1,12,26,0,1
P20701,12,0,1,1,7
P20702,8,0,0,1,10
P20711,0,0,2,0,0
P20718,3,0,0,1,3
P20719,0,0,0,0,0
P20742,10,1,0,1,0
P20749,0,0,4,0,0
P20774,4,0,0,1,1
P20783,1,0,0,1,3
P20794,0,0,2,0,0
P20800,0,0,0,1,2
P20807,0,0,0,0,0
P20809,0,0,0,1,0
P20810,0,1,20,0,0
P20813,0,0,1,0,0
P20815,0,0,0,0,0
P20823,0,1,5,0,0
P20827,1,0,0,1,2
P20839,0,0,3,0,0
P20848,4,0,0,1,0
P20849,1,0,0,1,4
P20851,5,0,0,1,8
P20853,0,0,0,0,0
P20908,0,0,73,1,5
P20916,8,0,3,1,7
P20929,0,0,0,0,0
P20930,0,0,0,0,0
P20933,2,0,1,1,4
P20936,0,0,3,0,0
P20941,0,0,1,0,0
P20963,0,0,8,1,0
P21108,0,0,0,0,0
P21127,0,1,11,0,0
P21128,0,0,0,1,14
P21145,0,0,0,0,0
P21217,2,0,0,0,0
P21246,0,0,0,1,5
P21266,0,2,0,0,0
P21281,0,0,0,0,0
P21283,0,0,1,0,0
P21291,0,1,7,0,0
P21333,0,5,48,0,0
P21359,0,0,14,0,0
P21397,0,0,3,0,0
P21399,0,0,1,0,0
P21439,2,0,2,0,0
P21452,2,0,0,0,1
P21453,2,0,4,0,2
P21462,2,0,8,0,1
P21549,0,0,6,0,0
P21554,2,0,2,0,0
P21579,1,0,5,0,0
P21580,0,0,4,0,0
P21583,7,0,0,1,2
P21589,4,0,0,1,4
P21673,0,0,0,0,0
P21675,0,2,13,0,0
P21695,0,0,3,0,0
P21709,1,0,6,1,0
P21728,1,0,0,0,1
P21730,1,0,8,0,1
P21731,2,0,2,0,1
P21741,0,0,0,1,5
P21754,6,0,1,1,4
P21757,7,0,1,0,3
P21781,1,0,0,1,0
P21796,0,9,12,0,0
P21802,8,0,7,1,3
P21810,6,0,0,1,3
P21815,11,0,10,1,0
P21817,0,0,8,0,0
P21854,1,0,2,0,3
P21860,10,0,2,1,23
P21912,0,0,2,0,0
P21917,1,0,0,0,2
P21918,2,0,0,0,1
P21926,2,0,0,0,2
P21941,1,0,0,1,5
P21953,0,0,2,0,0
P21964,0,0,1,0,0
P21980,0,1,3,0,2
P22001,1,0,1,0,0
P22003,4,0,0,1,4
P22004,5,0,0,1,4
P22033,0,0,7,0,0
P22059,0,0,15,0,0
P22061,0,0,1,0,0
P22079,4,0,2,1,6
P22083,2,0,0,0,0
P22087,0,6,12,0,0
P22102,0,0,7,0,0
P22105,5,0,0,1,56
P22223,2,0,0,1,0
P22234,0,0,8,0,0
P22301,1,0,0,1,2
P22303,3,0,0,1,4
P22304,7,0,1,1,2
P22307,0,0,29,0,0
P22309,3,0,0,1,0
P22310,4,0,0,1,0
P22314,0,0,16,0,0
P22352,0,0,0,1,0
P22362,1,0,0,1,3
P22392,0,0,0,0,0
P22413,9,0,1,0,16
P22415,0,1,0,0,0
P22455,5,0,5,1,3
P22459,1,0,3,0,0
P22460,0,2,1,0,0
P22466,0,0,2,1,0
P22492,0,0,7,0,0
P22528,0,0,0,0,0
P22557,0,0,1,0,0
P22570,0,0,2,0,0
P22607,6,0,6,1,3
P22612,0,0,2,0,0
P22626,0,10,36,0,0
P22670,0,0,3,0,0
P22674,0,0,1,0,0
P22680,0,0,0,0,0
P22681,0,0,13,0,0
P22692,1,0,1,1,10
P22694,0,0,8,0,0
P22695,0,0,3,0,0
P22732,1,0,1,0,0
P22735,0,0,7,0,0
P22736,0,0,2,0,0
P22748,0,0,0,1,2
P22749,0,0,0,1,2
P22760,2,0,0,0,1
P22792,8,0,0,1,0
P22794,5,0,1,1,0
P22830,0,0,4,0,0
P22888,6,0,1,1,1
P22891,6,0,14,1,9
P22894,5,0,0,1,1
P22897,7,0,0,1,21
P22914,0,0,1,0,0
P23025,0,3,2,0,0
P23083,0,0,1,1,1
P23109,0,0,4,0,0
P23141,1,0,1,1,2
P23142,3,0,0,1,35
P23193,0,1,5,0,0
P23219,3,0,0,1,5
P23229,9,0,3,1,9
P23246,0,3,28,0,0
P23258,0,0,1,0,0
P23276,5,0,1,0,6
P23280,2,0,0,1,1
P23284,1,0,5,1,0
P23297,0,0,1,0,0
P23327,0,0,8,1,0
P23352,6,0,0,1,5
P23368,0,0,5,0,0
P23378,0,0,5,0,0
P23381,0,0,2,0,0
P23396,0,5,16,0,0
P23409,0,0,0,0,0
P23415,1,0,0,1,2
P23416,2,0,0,1,2
P23434,0,0,1,0,0
P23435,2,0,0,1,2
P23443,0,0,9,0,0
P23458,0,0,5,0,0
P23467,26,0,1,1,0
P23468,4,0,0,1,3
P23469,2,0,1,1,0
P23470,8,0,1,1,1
P23471,24,0,5,1,2
P23490,0,8,0,0,0
P23497,0,7,13,0,0
P23508,0,0,1,0,0
P23510,4,0,0,0,1
P23511,0,0,1,0,0
P23515,11,0,0,1,0
P23526,0,0,4,0,0
P23527,1,4,75,0,0
P23528,0,1,14,0,0
P23560,1,0,0,1,3
P23582,0,0,0,1,1
P23588,0,1,23,0,0
P23610,0,0,1,0,0
P23634,0,0,3,0,0
P23677,0,0,5,0,0
P23743,0,0,1,0,0
P23759,0,0,0,0,0
P23760,0,0,3,0,0
P23763,0,0,1,0,0
P23769,0,1,3,0,0
P23771,0,0,2,0,0
P23786,0,0,12,0,0
P23919,0,0,2,0,0
P23921,0,0,3,0,1
P23942,2,0,0,0,1
P23945,4,0,1,1,7
P23946,2,0,0,1,3
P23975,3,0,0,0,1
P24001,0,0,0,1,0
P24043,28,0,0,1,66
P24046,3,0,0,1,1
P24071,5,0,0,1,2
P24158,2,0,0,1,4
P24278,0,7,0,0,0
P24298,0,0,3,0,0
P24310,0,0,0,0,0
P24311,0,0,0,0,0
P24347,0,0,0,1,1
P24385,0,1,1,0,0
P24386,0,0,0,0,0
P24387,1,0,0,1,5
P24390,0,0,1,0,0
P24394,6,0,4,1,2
P24462,0,0,0,0,0
P24468,0,0,1,0,0
P24522,0,0,1,0,0
P24530,1,0,6,1,1
P24534,0,1,8,0,0
P24539,0,0,7,0,0
P24557,0,0,0,0,0
P24588,0,0,1,0,0
P24592,5,0,0,1,8
P24593,1,0,1,1,9
P24666,0,0,3,0,0
P24723,0,0,6,0,0
P24752,0,0,24,0,0
P24821,24,0,4,1,42
P24844,0,0,3,0,0
P24855,2,0,0,1,2
P24863,0,0,1,0,0
P24864,0,0,5,0,0
P24903,0,0,0,0,0
P24928,0,1,69,0,0
P24941,0,0,6,0,0
P25021,1,0,0,0,1
P25024,2,0,0,0,1
P25025,1,0,4,0,1
P25054,0,0,42,0,0
P25063,2,0,0,1,0
P25067,0,0,0,1,0
P25090,1,0,0,0,1
P25092,8,0,0,1,0
P25098,0,0,1,0,0
P25100,2,0,0,0,0
P25101,2,0,1,1,1
P25103,2,0,0,0,1
P25105,1,0,0,0,1
P25106,3,0,3,0,1
P25116,5,0,1,1,1
P25189,1,0,5,1,1
P25205,0,0,18,0,0
P25208,0,1,0,0,0
P25311,4,0,1,1,2
P25325,0,0,9,0,1
P25391,6,0,0,1,67
P25398,0,0,2,0,0
P25440,0,0,7,0,0
P25445,4,0,3,1,8
P25490,0,8,4,0,0
P25685,0,0,1,0,0
P25686,0,0,3,0,0
P25705,1,0,36,0,0
P25713,0,0,2,0,0
P25774,1,0,0,1,4
P25786,1,2,3,0,0
P25787,0,0,10,0,0
P25788,0,0,6,0,0
P25789,0,0,5,0,0
P25791,0,0,0,0,0
P25800,0,0,0,0,0
P25815,0,0,0,0,0
P25874,0,0,1,0,0
P25929,3,0,1,0,1
P25940,3,0,0,1,5
P25942,2,0,0,1,8
P25963,0,3,10,0,0
P26006,14,0,0,1,9
P26010,8,0,1,1,26
P26012,7,0,0,1,22
P26022,1,0,0,1,7
P26038,0,0,10,0,0
P26045,0,0,6,0,0
P26196,0,0,1,0,0
P26232,0,0,5,0,0
P26358,0,2,37,0,0
P26367,0,0,0,0,0
P26368,0,2,7,0,0
P26371,0,0,0,0,0
P26373,0,5,5,0,0
P26374,0,0,1,0,0
P26378,0,0,4,0,0
P26436,1,0,0,1,0
P26439,0,0,0,0,0
P26440,0,0,10,0,0
P26441,0,0,0,0,0
P26447,0,0,3,0,0
P26572,0,0,0,0,2
P26583,0,0,11,0,1
P26599,0,2,6,0,0
P26639,0,0,6,0,0
P26640,0,0,4,0,0
P26641,0,2,6,0,0
P26651,0,0,14,0,0
P26678,0,0,3,0,0
P26715,4,0,2,0,4
P26717,3,0,0,0,3
P26718,3,0,0,0,4
P26842,2,0,1,1,8
P26885,0,0,0,1,0
P26927,3,0,0,1,20
P26951,6,0,0,1,5
P26992,4,0,0,1,1
P26998,0,0,2,0,0
P27037,2,0,0,1,5
P27105,0,0,4,0,0
P27144,0,0,6,0,0
P27169,3,0,0,1,1
P27216,0,0,0,0,0
P27338,0,0,3,0,0
P27348,0,1,9,0,0
P27352,4,0,1,1,3
P27361,0,0,5,0,0
P27448,0,0,20,0,0
P27449,0,0,0,0,0
P27469,0,0,0,0,0
P27487,9,0,0,0,5
P27539,1,0,0,1,4
P27540,0,1,2,0,0
P27544,0,0,1,0,0
P27635,0,2,1,0,0
P27658,0,0,0,1,0
P27694,0,16,7,0,0
P27695,0,0,12,0,1
P27701,3,0,0,0,0
P27707,0,0,4,0,0
P27708,0,0,12,0,0
P27797,1,0,4,1,1
P27815,0,1,10,0,0
P27816,0,2,45,0,0
P27824,0,0,5,1,2
P27918,20,0,0,1,22
P27930,5,0,0,1,4
P27986,0,0,6,0,0
P27987,0,0,5,0,0
P28039,4,0,0,1,8
P28062,0,0,1,0,0
P28065,0,0,2,0,0
P28066,1,0,5,0,0
P28067,1,0,0,1,2
P28068,1,0,0,1,3
P28069,0,0,0,0,0
P28070,0,0,3,0,0
P28072,0,0,2,0,0
P28074,0,0,0,0,0
P28161,0,0,2,0,0
P28221,3,0,0,0,1
P28222,2,0,0,0,1
P28223,5,0,1,0,2
P28288,3,0,5,0,0
P28289,0,0,0,0,0
P28290,0,2,26,0,0
P28300,3,1,2,1,5
P28324,0,1,1,0,0
P28325,0,0,0,1,2
P28328,0,0,1,0,0
P28329,0,0,2,0,0
P28330,0,0,19,0,0
P28331,0,0,4,0,0
P28332,0,0,1,0,0
P28335,2,0,0,1,2
P28336,3,0,1,0,1
P28340,0,1,1,0,0
P28347,0,0,2,0,0
P28356,0,0,1,0,0
P28358,0,0,2,0,0
P28360,0,2,0,0,0
P28370,0,3,3,0,0
P28472,3,0,0,1,1
P28476,2,0,0,1,1
P28482,0,0,8,0,0
P28562,0,0,2,0,0
P28566,2,0,0,0,1
P28676,0,0,0,0,0
P28698,0,1,1,0,0
P28702,0,0,1,0,0
P28715,0,0,3,0,0
P28749,0,0,13,0,0
P28799,5,0,0,1,12
P28827,12,0,1,1,3
P28838,0,0,15,0,0
P28845,3,0,0,0,0
P28906,9,0,3,1,0
P28907,4,0,0,0,5
P28908,4,0,2,1,14
P29016,4,0,0,1,3
P29017,4,0,0,1,2
P29033,0,0,0,0,3
P29034,0,0,0,0,0
P29074,0,0,1,0,0
P29083,0,0,3,0,0
P29084,0,0,3,0,0
P29120,3,0,0,1,3
P29122,3,0,0,1,0
P29144,0,0,3,0,0
P29218,0,0,1,0,0
P29274,1,0,0,0,4
P29275,2,0,0,0,1
P29279,2,0,0,1,11
P29317,2,0,15,1,2
P29320,5,0,5,1,0
P29322,3,0,2,1,0
P29323,4,1,2,1,2
P29350,0,0,6,0,0
P29353,0,0,10,0,0
P29371,3,0,0,0,1
P29372,0,0,2,0,0
P29373,0,1,0,0,0
P29374,0,5,5,0,0
P29375,0,2,12,0,0
P29376,3,0,1,1,3
P29400,1,2,0,1,9
P29401,0,1,16,0,0
P29459,2,0,0,1,4
P29460,3,0,0,1,5
P29466,0,1,1,0,0
P29474,0,0,10,0,0
P29475,0,0,3,0,0
P29508,0,0,1,0,0
P29536,0,0,4,0,0
P29558,0,0,1,0,0
P29590,0,24,21,0,0
P29597,0,0,7,0,0
P29622,4,0,0,1,0
P29692,0,0,19,0,0
P29728,0,0,1,0,0
P29803,0,0,3,0,0
P29965,2,0,0,0,1
P29966,0,0,22,0,0
P29972,2,0,3,0,0
P29973,1,0,0,0,0
P29992,0,0,1,0,0
P30038,0,0,23,0,0
P30039,0,0,0,0,0
P30040,0,0,2,1,0
P30041,0,0,6,0,0
P30043,0,0,2,0,0
P30044,0,0,6,0,1
P30046,0,0,2,0,0
P30047,0,0,0,0,0
P30048,0,0,4,0,2
P30049,0,0,4,0,0
P30050,0,3,3,0,0
P30084,0,0,9,0,0
P30085,0,1,5,0,0
P30086,0,0,7,0,0
P30101,0,0,8,1,4
P30153,0,0,2,0,0
P30154,0,0,1,0,0
P30203,8,0,1,1,11
P30260,0,0,15,0,0
P30273,0,0,4,1,1
P30279,0,0,2,0,0
P30281,0,0,3,0,0
P30291,0,0,16,0,0
P30301,0,0,4,0,0
P30304,0,0,13,0,0
P30305,0,0,8,0,0
P30307,0,0,19,0,0
P30405,0,0,7,0,0
P30411,3,0,6,0,1
P30414,0,13,16,0,0
P30419,0,0,3,0,0
P30511,1,0,0,1,2
P30518,1,0,0,0,0
P30519,0,0,2,0,0
P30520,0,0,0,0,0
P30530,6,0,5,1,2
P30531,3,0,2,0,1
P30532,3,0,0,1,2
P30533,1,0,3,1,0
P30536,0,0,0,0,0
P30542,1,0,0,0,1
P30550,1,0,1,0,1
P30556,3,0,0,0,2
P30559,3,0,2,0,1
P30566,0,1,3,0,0
P30613,0,0,5,0,0
P30622,0,0,17,0,0
P30626,0,0,0,0,0
P30679,0,0,1,0,0
P30711,0,0,0,0,0
P30740,0,0,4,0,0
P30793,0,0,2,0,0
P30825,2,0,0,0,0
P30837,0,0,15,0,0
P30838,0,0,3,0,0
P30872,3,0,0,0,1
P30874,4,0,5,0,1
P30876,0,0,2,0,0
P30926,4,0,0,1,1
P30939,2,0,0,0,1
P30968,2,0,0,0,1
P30988,4,0,0,1,3
P30989,3,0,0,0,1
P30990,0,0,1,1,0
P31025,0,0,0,1,1
P31040,0,0,28,0,0
P31146,0,0,5,0,0
P31150,0,0,0,0,0
P31151,0,0,1,0,1
P31152,0,0,2,0,0
P31153,0,2,3,0,0
P31213,0,0,0,0,0
P31249,0,0,0,0,0
P31260,0,0,0,0,0
P31268,0,0,0,0,0
P31269,0,0,1,0,0
P31270,0,0,0,0,0
P31271,0,0,0,0,0
P31273,0,0,0,0,0
P31274,0,0,1,0,0
P31276,0,0,0,0,0
P31314,0,0,1,0,0
P31321,0,0,6,0,2
P31323,0,0,4,0,0
P31327,3,0,153,0,0
P31350,0,0,2,0,0
P31358,2,0,0,1,0
P31371,1,0,0,0,0
P31391,1,0,0,0,1
P31415,1,0,4,1,0
P31431,4,0,0,1,0
P31483,0,0,1,0,0
P31512,0,0,0,0,0
P31513,0,0,1,0,0
P31629,0,0,11,0,0
P31639,2,0,0,0,0
P31641,3,0,1,0,0
P31644,4,1,0,1,1
P31645,2,0,3,0,1
P31689,0,0,5,0,0
P31749,5,1,11,0,2
P31751,4,0,8,0,2
P31785,6,0,1,1,3
P31930,0,0,6,0,0
P31937,0,0,17,0,0
P31939,0,0,2,0,0
P31941,0,0,0,0,0
P31942,0,2,13,0,0
P31943,0,3,9,0,0
P31944,0,0,0,0,0
P31946,0,1,13,0,0
P31947,0,0,3,0,0
P31948,0,4,12,0,0
P31949,0,0,7,0,1
P31994,3,0,1,1,2
P31995,3,0,2,1,2
P31997,11,0,0,1,2
P32004,20,0,9,1,6
P32019,0,0,1,0,0
P32119,0,0,3,0,2
P32121,0,0,5,0,0
P32189,0,0,0,0,0
P32238,3,0,0,0,2
P32239,3,0,0,0,1
P32241,4,0,0,1,4
P32242,0,1,0,0,0
P32243,0,0,0,0,0
P32245,3,0,0,0,1
P32246,1,0,0,0,1
P32247,2,0,0,0,1
P32248,1,0,0,1,1
P32249,0,0,1,0,1
P32297,2,0,2,1,2
P32298,0,0,2,0,0
P32302,2,0,0,0,1
P32320,0,0,0,0,0
P32321,0,0,1,0,0
P32322,0,0,3,0,0
P32418,2,0,2,1,0
P32455,0,8,3,0,0
P32456,0,0,1,0,0
P32519,0,0,7,0,0
P32745,2,0,3,0,1
P32754,0,0,5,0,0
P32780,0,0,3,0,0
P32856,0,0,0,0,0
P32881,0,0,0,1,2
P32926,4,0,0,1,0
P32927,3,0,1,1,5
P32929,0,0,1,0,0
P32942,15,0,0,1,6
P32969,0,0,1,0,0
P32970,2,0,0,0,1
P32971,5,0,0,0,1
P33032,4,0,0,0,0
P33076,0,0,0,0,0
P33121,1,0,8,0,0
P33151,7,0,0,1,0
P33176,0,1,3,0,0
P33240,0,1,6,0,0
P33241,0,0,9,0,0
P33260,0,0,0,1,0
P33261,0,0,0,0,0
P33316,0,0,3,0,0
P33402,0,0,0,0,0
P33527,3,0,6,0,0
P33681,8,0,1,1,2
P33763,0,0,0,0,0
P33764,0,0,2,0,2
P33778,1,4,76,0,0
P33897,1,0,1,0,0
P33908,1,0,0,0,1
P33947,0,0,0,0,0
P33981,0,0,12,0,0
P33991,0,2,18,0,0
P33992,0,0,6,0,0
P33993,0,2,6,0,0
P34059,2,0,1,1,3
P34096,0,0,1,1,4
P34130,1,0,0,1,3
P34741,4,0,2,1,0
P34810,9,0,0,1,2
P34896,0,0,2,0,0
P34897,0,0,11,0,0
P34903,4,0,4,1,1
P34910,3,0,5,1,0
P34913,0,0,8,0,0
P34925,5,0,1,1,1
P34931,0,0,0,0,0
P34932,0,0,14,0,0
P34947,0,0,3,0,0
P34949,0,0,3,0,0
P34969,2,0,0,0,1
P34972,1,0,4,0,0
P34981,2,0,0,0,1
P34982,2,0,0,0,1
P34998,5,0,1,1,4
P35030,0,0,1,1,5
P35052,5,0,0,1,7
P35070,1,0,0,1,3
P35080,0,0,1,0,0
P35125,0,0,0,0,0
P35212,0,0,0,0,0
P35218,0,0,0,0,0
P35219,0,0,1,0,0
P35221,0,2,12,0,0
P35222,1,0,19,0,0
P35225,4,0,0,1,2
P35226,0,0,0,0,0
P35227,0,2,1,0,0
P35228,0,0,4,0,0
P35232,0,0,7,0,0
P35236,0,0,6,0,0
P35237,0,0,3,0,0
P35240,0,0,2,0,0
P35241,0,0,2,0,0
P35243,0,0,1,0,1
P35244,0,3,1,0,0
P35247,1,0,8,1,2
P35249,0,0,3,0,0
P35250,0,0,5,0,0
P35251,0,1,20,0,0
P35268,0,0,3,0,0
P35269,0,0,20,0,0
P35270,0,0,4,0,0
P35318,0,0,2,1,1
P35321,0,0,0,0,0
P35326,0,0,0,0,0
